station_id,station_name,lat,lon,year,Alkalitet,Aluminium,"Aluminium,ikkelabil","Aluminium,reaktivt",Ammonium,Arsen,Bly,Ca/Mg,Fluorid,Kalium,Kalsium,Klorid,Kobber,Konduktivitet,Krom,Magnesium,Natrium,Nikkel,Nitritt+nitrat,Sink,Sulfat,Totalfosfor,Totalnitrogen,Totalorganiskkarbon(TOC),pH,utm_north,utm_east,utm_zone
26497.0,Grantjørni,58.586,7.122,2019,,,120.0,150.0,,,,,,,,,,,,,,,,,,3.0,,,,6520854.435815721,42631.57338436163,33
26500.0,Husbrytjørn,58.44,6.978,1995,0.01,,100.0,174.0,,,,1.2272727272727273,40.0,0.17,0.54,5.3,,3.47,,0.44,3.28,,109.0,,2.9,8.0,475.0,7.9,4.61,6505664.909586335,32351.556477068865,33
26500.0,Husbrytjørn,58.44,6.978,2019,0.03,,150.0,190.0,,,,0.9333333333333336,18.0,0.08,0.28,3.4,,2.54,,0.3,2.64,,50.0,,0.62,7.0,280.0,13.2,4.86,6505664.909586335,32351.556477068865,33
26501.0,Hellartjern,58.726,7.04,1995,0.018000000000000002,,72.0,119.0,,,,1.3333333333333333,40.0,0.09,0.24,2.1,,1.92,,0.18,1.32,,85.0,,1.7,3.0,250.0,3.5,4.74,6536936.553578437,39738.31285219401,33
26501.0,Hellartjern,58.726,7.04,2019,0.038,,69.0,88.0,,,,2.0,17.0,0.046,0.26,1.2,,1.11,,0.13,1.03,,37.0,,0.34,3.0,160.0,4.5,5.15,6536936.553578437,39738.31285219401,33
26503.0,Småtjørnan,58.64698988,6.806222,1995,,,96.0,122.0,,,,,,,,,,,,,,,,,,3.0,,,,6529815.290786549,25186.112209590734,33
26503.0,Småtjørnan,58.64698988,6.806222,2019,,,84.0,110.0,,,,,,,,,,,,,,,,,,3.0,,,,6529815.290786549,25186.112209590734,33
26504.0,HOH 573,58.782,6.719,1995,0.018000000000000002,,39.0,91.0,,,,0.8999999999999999,40.0,0.07,0.18,2.4,,1.94,,0.2,1.29,,109.0,,1.4,1.0,205.0,1.9,4.77,6545397.957509879,22008.7643127981,33
26504.0,HOH 573,58.782,6.719,2019,0.042,,41.0,54.0,,,,1.0,8.0,0.081,0.19,1.82,,1.26,,0.19,1.28,,49.0,,0.42,2.0,140.0,2.4,5.24,6545397.957509879,22008.7643127981,33
26505.0,HOH 760,58.80729385,6.63884705,1995,0.013999999999999999,,39.0,98.0,,,,0.8095238095238096,40.0,0.08,0.17,2.8,,2.19,,0.21,1.46,,93.0,,1.5,1.0,190.0,2.0,4.69,6548777.122814465,17749.826551834063,33
26505.0,HOH 760,58.80729385,6.63884705,2019,0.037000000000000005,,42.0,64.0,,,,1.1176470588235294,15.0,0.071,0.19,1.97,,1.3,,0.17,1.31,,23.0,,0.38,2.0,140.0,2.6,5.21,6548777.122814465,17749.826551834063,33
26506.0,HOH 1041,58.93675216,6.62866895,1995,0.02,,10.0,50.0,,,,0.75,40.0,0.06,0.12,2.2,,1.55,,0.16,1.08,,134.0,,1.0,1.0,175.0,0.46,4.89,6563193.422703296,18971.472648589406,33
26506.0,HOH 1041,58.93675216,6.62866895,2019,0.039,,5.0,9.0,,,,1.1428571428571428,4.0,0.039,0.16,1.76,,1.03,,0.14,1.12,,50.0,,0.37,1.0,86.0,0.64,5.4,6563193.422703296,18971.472648589406,33
26507.0,Litle Svartevatnet,58.65823697,6.4896436,1995,0.013000000000000001,,75.0,107.0,,,,1.0384615384615383,40.0,0.08,0.27,3.1,,2.42,,0.26,1.88,,93.0,,1.7,2.0,225.0,3.6,4.7,6533353.522670818,7061.712087535881,33
26507.0,Litle Svartevatnet,58.65823697,6.4896436,2019,0.038,,62.0,82.0,,,,0.9565217391304348,14.0,0.081,0.22,2.75,,1.81,,0.23,1.96,,57.0,,0.57,3.0,180.0,4.0,5.11,6533353.522670818,7061.712087535881,33
26508.0,HOH 944,58.965,6.667,1995,0.024,,10.0,70.0,,,,0.9411764705882352,40.0,0.07,0.16,2.5,,1.59,,0.17,1.23,,143.0,,1.1,1.0,175.0,0.62,4.95,6566047.034498765,21559.397179522028,33
26508.0,HOH 944,58.965,6.667,2019,0.04,,8.0,17.0,,,,1.0714285714285714,5.0,0.039,0.15,1.61,,1.0,,0.14,1.14,,54.0,,0.37,1.0,91.0,0.72,5.45,6566047.034498765,21559.397179522028,33
26509.0,HOH 739,58.787,6.55,1995,0.02,,13.0,69.0,,,,0.8888888888888891,40.0,0.07,0.16,2.5,,1.84,,0.18,1.31,,120.0,,1.3,1.0,195.0,1.1,4.84,6547174.519263896,12357.031971418532,33
26509.0,HOH 739,58.787,6.55,2019,0.048,,22.0,27.0,,,,2.647058823529412,12.0,0.034,0.45,1.93,,1.17,,0.17,1.37,,57.0,,0.43,2.0,130.0,1.4,5.79,6547174.519263896,12357.031971418532,33
26510.0,HOH 850,58.856,6.588,1995,0.018000000000000002,,19.0,72.0,,,,1.0952380952380951,40.0,0.06,0.23,2.8,,2.02,,0.21,1.43,,110.0,,1.3,1.0,180.0,1.3,4.77,6554541.669389514,15509.739066100272,33
26510.0,HOH 850,58.856,6.588,2019,0.04,,24.0,31.0,,,,1.1875,8.0,0.027000000000000003,0.19,1.62,,1.05,,0.16,1.14,,28.0,,0.36,2.0,94.0,1.6,5.38,6554541.669389514,15509.739066100272,33
26511.0,HOH 860,58.94833006,7.11692374,1995,0.022000000000000002,,30.0,78.0,,,,1.5384615384615383,40.0,0.05,0.2,1.4,,1.25,,0.13,0.83,,56.0,,1.1,6.0,143.0,1.6,5.0,6561055.402761512,47093.160595698224,33
26511.0,HOH 860,58.94833006,7.11692374,2019,0.040999999999999995,,41.0,51.0,,,,1.6,14.0,0.027000000000000003,0.16,0.83,,0.7,,0.1,0.76,,12.0,,0.26,2.0,89.0,2.2,5.46,6561055.402761512,47093.160595698224,33
26512.0,Indre Skeidsvatn,58.784,6.658,1995,0.024,,21.0,84.0,,,,1.0499999999999998,40.0,0.08,0.21,2.6,,1.75,,0.2,1.31,,119.0,,1.4,1.0,190.0,1.2,4.95,6546058.001751376,18527.160863566503,33
26512.0,Indre Skeidsvatn,58.784,6.658,2019,0.059000000000000004,,25.0,33.0,,,,4.352941176470588,10.0,0.043,0.74,1.8,,1.24,,0.17,1.32,,50.0,,0.44,2.0,120.0,1.8,6.02,6546058.001751376,18527.160863566503,33
26513.0,Krokevatn,58.819,6.894,1995,0.021,,19.0,61.0,,,,1.3333333333333337,40.0,0.05,0.2,1.8,,1.45,,0.15,1.04,,106.0,,1.2,2.0,175.0,1.3,4.95,6548258.610183381,32577.676324362576,33
